"","V1","V2","V3","V4","V5"
"row","0369AbuShaykhIsbahani","0369AbuShaykhIsbahani.TabaqatMuhaddithin","107275","10","375991"
"row","0257IbnCabdHakam","0257IbnCabdHakam.FutuhMisr","106706","1","106706"
"row","0233YahyaIbnMacin","0233YahyaIbnMacin.TarikhIbnMacin","106442","5","185434"
"row","0828IbnCinaba","0828IbnCinaba.CumdatTalib","106073","1","106073"
"row","0240KhalifaIbnKhayyat","0240KhalifaIbnKhayyat.Tarikh","105147","3","194457"
"row","0427HamzaJurjani","0427HamzaJurjani.TarikhJurjan","103409","2","127232"
"row","1313VanDyck","1313VanDyck.IktifaQunuc","101623","1","101623"
"row","0507AbuBakrShashi","0507AbuBakrShashi.HilyaCulama","96819","2","97773"
"row","0300MuallifMajhul","0300MuallifMajhul.AkhbarDawlaCabbasiya","96358","1","96358"
"row","0685IbnCibri","0685IbnCibri.TarikhMukhtasarDuwal","95921","1","95921"
"row","0854IbnDiyaMakki","0854IbnDiyaMakki.TarikhMakka","95766","2","98576"
"row","0448HilalSabi","0448HilalSabi.TuhfaUmara","95179","2","116596"
"row","0821Qalqashandi","0821Qalqashandi.NihayaArab","94418","4","1769793"
"row","0641Sarifini","0641Sarifini.Muntakhab","94111","1","94111"
"row","1334NajmDinTabasi","1334NajmDinTabasi.RijalKhaqani","93636","5","153139"
"row","1041BurhanDinMaliki","1041BurhanDinMaliki.BahjaMahafil","93026","1","93026"
"row","0282AbuHanifaDinawari","0282AbuHanifaDinawari.AkhbarTiwal","92353","1","92353"
"row","0450Najashi","0450Najashi.Rijal","88372","1","88372"
"row","0204IbnKalbi","0204IbnKalbi.NasabMacad","88072","3","115183"
"row","0398AbuNasrKalabadhi","0398AbuNasrKalabadhi.HidayaWaIrshad","87142","1","87142"
"row","0575IbnBabawayh","0575IbnBabawayh.Fihrist","86367","2","109130"
"row","0384IbnCimranMarzubani","0384IbnCimranMarzubani.MucjamShucara","85553","5","227210"
"row","0580IbnCimrani","0580IbnCimrani.InbaFiTarikhKhulafa","85474","1","85474"
"row","0256ZubayrIbnBakkar","0256ZubayrIbnBakkar.AkhbarMuwaffaqiyat","85182","3","148034"
"row","0488IbnFutuhHumaydi","0488IbnFutuhHumaydi.JadhwaMuqtabis","84577","5","627743"
"row","1424IhsanCabbas","1424IhsanCabbas.ShadharatMinKutubMafquda","83420","2","117735"
"row","0741KhatibTabrizi","0741KhatibTabrizi.Ikmal","83323","2","377526"
"row","1354HasanSadr","1354HasanSadr.Takmila","83219","1","83219"
"row","0580IbnCaliIbnAbiYacla","0580IbnCaliIbnAbiYacla.TajridAsmaWaKuna","83158","1","83158"
"row","0446AbuYaclaKhalili","0446AbuYaclaKhalili.IrshadFiMacrifaCulama","80216","2","83168"
"row","1153IbnKannan","1153IbnKannan.YawmiyyatShamiyya","78989","1","78989"
"row","0744MuhammadIbnQudamaMaqdisi","0744MuhammadIbnQudamaMaqdisi.CuqudDurriyya","76218","6","1138931"
"row","0281AbuZurcaDimashqi","0281AbuZurcaDimashqi.Tarikh","75006","2","89047"
"row","0733IbnJamacaBadrDinHamawi","0733IbnJamacaBadrDinHamawi.Mashyakha","73993","8","204300"
"row","0761IbnKaykaldi","0761IbnKaykaldi.JamicTahsil","73903","2","76870"
"row","0614IbnJubayr","0614IbnJubayr.Rihla","73841","1","73841"
"row","0904Burayhi","0904Burayhi.TabaqatSulahaYaman","73683","1","73683"
"row","0767Balawi","0767Balawi.TajMafriq","73542","1","73542"
"row","0261AbuHasanCijli","0261AbuHasanCijli.MacrifatThiqat","72322","1","72322"
"row","0709IbnTiqtaqa","0709IbnTiqtaqa.FakhriFiAdab","71630","1","71630"
"row","0292Bahshal","0292Bahshal.TarikhWasit","71502","1","71502"
"row","0723IbnFuwati","0723IbnFuwati.Hawadith","71226","1","71226"
"row","0730MuhammadTujibi","0730MuhammadTujibi.Barnamaj","70911","1","70911"
"row","1330IbnMusaTabrizi","1330IbnMusaTabrizi.MiratKutub","70798","1","70798"
"row","0333AbuCarabTamimi","0333AbuCarabTamimi.Mihan","69643","2","97650"
"row","0296IbnMuctazz","0296IbnMuctazz.TabaqatShucara","69039","3","133563"
"row","1306MullaCaliKanni","1306MullaCaliKanni.TawdihMaqal","68549","1","68549"
"row","0673AbuMahasinYaghmuri","0673AbuMahasinYaghmuri.NurQabas","68518","1","68518"
"row","1147CabdAllahSancani","1147CabdAllahSancani.TarikhYaman","68452","1","68452"
"row","0750AbuHafsQazwini","0750AbuHafsQazwini.Mashyakha","67799","1","67799"
"row","0412Sulami","0412Sulami.TabaqatSufiya","67692","9","349656"
"row","0535QadiMaristan","0535QadiMaristan.Mashyakha","67545","1","67545"
"row","0647CabdWahidMarrakushi","0647CabdWahidMarrakushi.Mucjib","67539","1","67539"
"row","0690IbnMujawirDimashqi","0690IbnMujawirDimashqi.TarikhMustabsir","65320","1","65320"
"row","0639AbuBakrMalaqi","0639AbuBakrMalaqi.MatlacAnwar","64384","1","64384"
"row","0740IbnDawudHilli","0740IbnDawudHilli.Rijal","63954","1","63954"
"row","0816AbuBakrMaraghi","0816AbuBakrMaraghi.Mashyakha","63556","2","72636"
"row","1232IbnKhatibCumari","1232IbnKhatibCumari.RawdaFayha","62930","1","62930"
"row","0584IbnMusaHazimi","0584IbnMusaHazimi.Amakin","62740","3","158625"
"row","0826IbnCiraqi","0826IbnCiraqi.TuhfaTahsil","62447","2","65489"
"row","0793AbuHasanMalaqi","0793AbuHasanMalaqi.TarikhQudat","61481","1","61481"
"row","0643IbnSalahShahrazuri","0643IbnSalahShahrazuri.TabaqatFuqaha","61392","7","354684"
